filename,label
image_00001.bmp,5
image_00002.bmp,5
image_00003.bmp,9
image_00004.bmp,8
image_00005.bmp,13
image_00006.bmp,11
image_00007.bmp,2
image_00008.bmp,5
image_00009.bmp,13
image_00010.bmp,3
image_00011.bmp,12
image_00012.bmp,14
image_00013.bmp,4
image_00014.bmp,6
image_00015.bmp,9
image_00016.bmp,13
image_00017.bmp,9
image_00018.bmp,1
image_00019.bmp,6
image_00020.bmp,4
image_00021.bmp,0
image_00022.bmp,5
image_00023.bmp,8
image_00024.bmp,4
image_00025.bmp,4
image_00026.bmp,13
image_00027.bmp,12
image_00028.bmp,2
image_00029.bmp,8
image_00030.bmp,12
image_00031.bmp,14
image_00032.bmp,2
image_00033.bmp,5
image_00034.bmp,13
image_00035.bmp,0
image_00036.bmp,12
image_00037.bmp,7
image_00038.bmp,2
image_00039.bmp,1
image_00040.bmp,8
image_00041.bmp,1
image_00042.bmp,13
image_00043.bmp,0
image_00044.bmp,7
image_00045.bmp,0
image_00046.bmp,0
image_00047.bmp,8
image_00048.bmp,6
image_00049.bmp,13
image_00050.bmp,8
image_00051.bmp,8
image_00052.bmp,12
image_00053.bmp,13
image_00054.bmp,8
image_00055.bmp,9
image_00056.bmp,12
image_00057.bmp,0
image_00058.bmp,5
image_00059.bmp,12
image_00060.bmp,0
image_00061.bmp,14
image_00062.bmp,9
image_00063.bmp,5
image_00064.bmp,5
image_00065.bmp,0
image_00066.bmp,2
image_00067.bmp,0
image_00068.bmp,0
image_00069.bmp,12
image_00070.bmp,6
image_00071.bmp,7
image_00072.bmp,13
image_00073.bmp,11
image_00074.bmp,1
image_00075.bmp,13
image_00076.bmp,9
image_00077.bmp,1
image_00078.bmp,4
image_00079.bmp,14
image_00080.bmp,3
image_00081.bmp,6
image_00082.bmp,12
image_00083.bmp,5
image_00084.bmp,6
image_00085.bmp,13
image_00086.bmp,2
image_00087.bmp,0
image_00088.bmp,2
image_00089.bmp,3
image_00090.bmp,5
image_00091.bmp,12
image_00092.bmp,2
image_00093.bmp,12
image_00094.bmp,6
image_00095.bmp,3
image_00096.bmp,8
image_00097.bmp,8
image_00098.bmp,10
image_00099.bmp,9
image_00100.bmp,0
image_00101.bmp,12
image_00102.bmp,2
image_00103.bmp,10
image_00104.bmp,14
image_00105.bmp,3
image_00106.bmp,1
image_00107.bmp,8
image_00108.bmp,0
image_00109.bmp,2
image_00110.bmp,9
image_00111.bmp,8
image_00112.bmp,8
image_00113.bmp,2
image_00114.bmp,10
image_00115.bmp,0
image_00116.bmp,2
image_00117.bmp,1
image_00118.bmp,10
image_00119.bmp,8
image_00120.bmp,5
image_00121.bmp,4
image_00122.bmp,1
image_00123.bmp,8
image_00124.bmp,1
image_00125.bmp,5
image_00126.bmp,10
image_00127.bmp,9
image_00128.bmp,8
image_00129.bmp,0
image_00130.bmp,8
image_00131.bmp,5
image_00132.bmp,14
image_00133.bmp,0
image_00134.bmp,9
image_00135.bmp,8
image_00136.bmp,2
image_00137.bmp,0
image_00138.bmp,7
image_00139.bmp,13
image_00140.bmp,14
image_00141.bmp,12
image_00142.bmp,3
image_00143.bmp,13
image_00144.bmp,6
image_00145.bmp,13
image_00146.bmp,9
image_00147.bmp,5
image_00148.bmp,5
image_00149.bmp,2
image_00150.bmp,12
image_00151.bmp,10
image_00152.bmp,6
image_00153.bmp,4
image_00154.bmp,3
image_00155.bmp,5
image_00156.bmp,13
image_00157.bmp,2
image_00158.bmp,11
image_00159.bmp,13
image_00160.bmp,13
image_00161.bmp,5
image_00162.bmp,3
image_00163.bmp,10
image_00164.bmp,13
image_00165.bmp,12
image_00166.bmp,8
image_00167.bmp,9
image_00168.bmp,5
image_00169.bmp,10
image_00170.bmp,12
image_00171.bmp,5
image_00172.bmp,4
image_00173.bmp,0
image_00174.bmp,13
image_00175.bmp,9
image_00176.bmp,0
image_00177.bmp,9
image_00178.bmp,5
image_00179.bmp,10
image_00180.bmp,5
image_00181.bmp,12
image_00182.bmp,11
image_00183.bmp,7
image_00184.bmp,1
image_00185.bmp,14
image_00186.bmp,13
image_00187.bmp,6
image_00188.bmp,6
image_00189.bmp,14
image_00190.bmp,8
image_00191.bmp,9
image_00192.bmp,9
image_00193.bmp,11
image_00194.bmp,5
image_00195.bmp,14
image_00196.bmp,12
image_00197.bmp,5
image_00198.bmp,7
image_00199.bmp,6
image_00200.bmp,9
image_00201.bmp,0
image_00202.bmp,5
image_00203.bmp,5
image_00204.bmp,6
image_00205.bmp,10
image_00206.bmp,8
image_00207.bmp,10
image_00208.bmp,12
image_00209.bmp,8
image_00210.bmp,14
image_00211.bmp,2
image_00212.bmp,8
image_00213.bmp,8
image_00214.bmp,2
image_00215.bmp,13
image_00216.bmp,13
image_00217.bmp,12
image_00218.bmp,8
image_00219.bmp,14
image_00220.bmp,7
image_00221.bmp,2
image_00222.bmp,4
image_00223.bmp,5
image_00224.bmp,8
image_00225.bmp,3
image_00226.bmp,5
image_00227.bmp,5
image_00228.bmp,2
image_00229.bmp,11
image_00230.bmp,9
image_00231.bmp,5
image_00232.bmp,5
image_00233.bmp,4
image_00234.bmp,1
image_00235.bmp,10
image_00236.bmp,7
image_00237.bmp,4
image_00238.bmp,13
image_00239.bmp,0
image_00240.bmp,5
image_00241.bmp,13
image_00242.bmp,11
image_00243.bmp,10
image_00244.bmp,4
image_00245.bmp,8
image_00246.bmp,13
image_00247.bmp,12
image_00248.bmp,13
image_00249.bmp,2
image_00250.bmp,2
image_00251.bmp,12
image_00252.bmp,4
image_00253.bmp,2
image_00254.bmp,14
image_00255.bmp,5
image_00256.bmp,13
image_00257.bmp,7
image_00258.bmp,7
image_00259.bmp,13
image_00260.bmp,6
image_00261.bmp,5
image_00262.bmp,14
image_00263.bmp,2
image_00264.bmp,8
image_00265.bmp,11
image_00266.bmp,13
image_00267.bmp,0
image_00268.bmp,9
image_00269.bmp,8
image_00270.bmp,5
image_00271.bmp,5
image_00272.bmp,12
image_00273.bmp,0
image_00274.bmp,13
image_00275.bmp,10
image_00276.bmp,7
image_00277.bmp,12
image_00278.bmp,12
image_00279.bmp,13
image_00280.bmp,6
image_00281.bmp,9
image_00282.bmp,10
image_00283.bmp,9
image_00284.bmp,8
image_00285.bmp,0
image_00286.bmp,10
image_00287.bmp,0
image_00288.bmp,3
image_00289.bmp,8
image_00290.bmp,12
image_00291.bmp,13
image_00292.bmp,0
image_00293.bmp,1
image_00294.bmp,12
image_00295.bmp,8
image_00296.bmp,2
image_00297.bmp,9
image_00298.bmp,5
image_00299.bmp,14
image_00300.bmp,1
image_00301.bmp,0
image_00302.bmp,6
image_00303.bmp,13
image_00304.bmp,8
image_00305.bmp,7
image_00306.bmp,2
image_00307.bmp,13
image_00308.bmp,14
image_00309.bmp,13
image_00310.bmp,5
image_00311.bmp,0
image_00312.bmp,1
image_00313.bmp,5
image_00314.bmp,5
image_00315.bmp,9
image_00316.bmp,12
image_00317.bmp,10
image_00318.bmp,9
image_00319.bmp,4
image_00320.bmp,8
image_00321.bmp,13
image_00322.bmp,6
image_00323.bmp,13
image_00324.bmp,8
image_00325.bmp,11
image_00326.bmp,9
image_00327.bmp,6
image_00328.bmp,0
image_00329.bmp,6
image_00330.bmp,11
image_00331.bmp,14
image_00332.bmp,10
image_00333.bmp,6
image_00334.bmp,14
image_00335.bmp,6
image_00336.bmp,13
image_00337.bmp,8
image_00338.bmp,13
image_00339.bmp,0
image_00340.bmp,9
image_00341.bmp,1
image_00342.bmp,2
image_00343.bmp,13
image_00344.bmp,8
image_00345.bmp,1
image_00346.bmp,13
image_00347.bmp,8
image_00348.bmp,0
image_00349.bmp,12
